icao24,r,t
800388,VT-JEJ,B773
45CE4F,OY-SRO,B762
4007F1,G-YMMF,B772
406011,G-EZTG,A320
400684,G-VIIL,B772
4CA60B,EI-FXK,AT72
406013,G-EZTI,A320
4CA75E,EI-EFC,B738
400901,G-CHTZ,A332
7801FA,B-HKV,B744
738075,4X-ECE,B772
45CE4C,OY-SRL,B762
44D033,OO-TAS,B463
424920,VQ-BCO,A319
40079D,G-WOWE,DH8C
400997,G-ZAPW,B733
4009C1,G-TTOF,A320
400A60,G-OOBF,B752
400877,G-EUPG,A319
449128,OO-DIH,A30B
400FF4,G-FDZD,B738
8001C9,VT-JWD,A332
44D342,OO-TZB,A30B
400570,G-BYAP,B752
4CA305,EI-DLZ,B738
44912A,OO-DIJ,A30B
4009AE,G-LCYA,F900
43C266,ZJ209,H64
4CA2C1,EI-DLD,B738
4CC0DC,TF-BBH,B734
4CA24C,EI-DCZ,B738
4CA281,EI-DEI,A320
4010F9,G-POWC,B733
400830,G-OZBN,A321
40499A,G-SURY,EC35
400A09,G-DHJZ,A320
4005D2,G-VBIG,B744
4B8475,TC-ACU,A30B
400584,G-BIKC,B752
405631,G-EZDA,A319
400A0F,G-ZAPU,B752
400620,G-BTPA,ATP
400A2E,G-TTOJ,A320
400C45,G-EZID,A319
4007E1,G-FCLH,B752
400EFD,G-EZBC,A319
AB0972,N810AX,DC10
A39B56,N331UP,B763
4BB5D6,TC-MNV,A306
3C6565,D-AIKE,A333
3C4ACB,D-ABVK,B744
A189F2,N199DN,B763
400662,G-BIKZ,B752
4008CC,G-OZBP,A321
484061,PH-KCC,MD11
3949F7,F-GSPX,B772
3C4ADA,D-ABVZ,B744
A968DF,N705TW,B752
A16C3A,N191DN,B763
4CC2AD,TF-FIV,B752
4BA928,TC-JIH,A343
4690C2,SX-DFB,A343
392243,F-GISD,B744
C050B9,C-GEOU,B763
A17ECD,N196DN,B763
3C4AD0,D-ABVP,B744
4CA0CF,EI-CRF,B763
484063,PH-KCE,MD11
3C656A,D-AIKJ,A333
400680,G-WJAN,B752
394A12,F-GSQS,B77W
AA44AC,N76054,B764
A34E40,N312AA,B762
AA8114,N776UA,B772
3C4ACC,D-ABVL,B744
40075B,G-MDBD,A332
400550,G-CIVC,B744
A2BADF,N275UP,MD11
C0173E,C-FIUV,B773
A12FCF,N176DN,B763
484076,PH-MCR,MD11
AAF5B1,N805NW,A333
400A0A,G-SUEW,A320
AB772D,N838MH,B764
A0F4A2,N1604R,B763
